(1,):value:1 count:553 
(1,1,):value:2 count:320 
(1,1,1,):value:3 count:226 
(1,1,1,1,):value:4 count:80 
(1,1,1,1,1,):value:5 count:44 
(1,1,1,1,1,1,):value:7 count:18 
(1,1,1,1,1,1,1,):value:9 count:6 
(1,1,1,1,1,1,1,1,):value:10 count:3 
(1,1,1,1,1,1,1,1,1,):value:13 count:2 
(1,1,1,1,1,1,1,1,2,):value:16 count:1 
(1,1,1,1,1,1,1,2,):value:14 count:1 
(1,1,1,1,1,1,1,3,):value:16 count:2 
(1,1,1,1,1,1,2,):value:10 count:4 
(1,1,1,1,1,1,2,1,):value:13 count:1 
(1,1,1,1,1,1,2,2,):value:16 count:2 
(1,1,1,1,1,1,3,):value:13 count:2 
(1,1,1,1,1,1,4,):value:14 count:1 
(1,1,1,1,1,1,5,):value:16 count:1 
(1,1,1,1,1,2,):value:9 count:7 
(1,1,1,1,1,2,1,):value:10 count:3 
(1,1,1,1,1,2,1,1,):value:13 count:2 
(1,1,1,1,1,2,1,1,1,):value:15 count:2 
(1,1,1,1,1,2,1,2,):value:15 count:1 
(1,1,1,1,1,2,1,2,1,):value:16 count:1 
(1,1,1,1,1,2,2,):value:13 count:2 
(1,1,1,1,1,2,2,1,):value:15 count:2 
(1,1,1,1,1,2,3,):value:15 count:2 
(1,1,1,1,1,2,3,1,):value:16 count:2 
(1,1,1,1,1,3,):value:10 count:13 
(1,1,1,1,1,3,1,):value:12 count:9 
(1,1,1,1,1,3,1,1,):value:13 count:4 
(1,1,1,1,1,3,1,2,):value:14 count:1 
(1,1,1,1,1,3,1,3,):value:16 count:2 
(1,1,1,1,1,3,2,):value:15 count:3 
(1,1,1,1,1,3,2,1,):value:16 count:1 
(1,1,1,1,1,3,3,):value:16 count:1 
(1,1,1,1,1,4,):value:12 count:5 
(1,1,1,1,1,4,1,):value:13 count:1 
(1,1,1,1,1,4,2,):value:14 count:2 
(1,1,1,1,1,4,3,):value:16 count:2 
(1,1,1,1,1,5,):value:15 count:1 
(1,1,1,1,2,):value:6 count:26 
(1,1,1,1,2,1,):value:7 count:11 
(1,1,1,1,2,1,1,):value:9 count:4 
(1,1,1,1,2,1,1,1,):value:13 count:2 
(1,1,1,1,2,1,1,2,):value:14 count:1 
(1,1,1,1,2,1,1,3,):value:16 count:1 
(1,1,1,1,2,1,2,):value:13 count:1 
(1,1,1,1,2,1,3,):value:14 count:1 
(1,1,1,1,2,1,4,):value:16 count:2 
(1,1,1,1,2,2,):value:9 count:8 
(1,1,1,1,2,2,1,):value:10 count:2 
(1,1,1,1,2,2,1,1,):value:13 count:1 
(1,1,1,1,2,2,1,1,1,):value:15 count:1 
(1,1,1,1,2,2,1,2,):value:14 count:1 
(1,1,1,1,2,2,2,):value:12 count:3 
(1,1,1,1,2,2,2,1,):value:13 count:3 
(1,1,1,1,2,2,3,):value:13 count:1 
(1,1,1,1,2,2,4,):value:14 count:1 
(1,1,1,1,2,2,4,1,):value:15 count:1 
(1,1,1,1,2,2,5,):value:16 count:1 
(1,1,1,1,2,3,):value:10 count:3 
(1,1,1,1,2,3,1,):value:12 count:3 
(1,1,1,1,2,3,1,1,):value:13 count:1 
(1,1,1,1,2,3,1,2,):value:16 count:1 
(1,1,1,1,2,4,):value:12 count:3 
(1,1,1,1,2,4,1,):value:13 count:1 
(1,1,1,1,2,4,2,):value:16 count:2 
(1,1,1,1,2,5,):value:15 count:1 
(1,1,1,1,3,):value:7 count:5 
(1,1,1,1,3,1,):value:10 count:2 
(1,1,1,1,4,):value:10 count:1 
(1,1,1,1,4,1,):value:15 count:1 
(1,1,1,1,5,):value:12 count:2 
(1,1,1,1,6,):value:13 count:1 
(1,1,1,2,):value:5 count:56 
